Date: 01-10-09

Time: 13:10:54



Exp. Conditions:

Cyclic voltammetry

Start potential (V) = .0000

First vertex potential (V) = 1.5000

Second vertex potential (V) = -.2979

Step potential (V) = .00244

Scan rate (V/s) = .15001

Equilibration time (s) = 1

Number of Data Points =  1474 



 Potential	  Scan 1   	  Scan 2   	  Scan 3   	  Scan 4   	  Scan 5   	  Scan 6   	  Scan 7   	  Scan 8   	  Scan 9   	  Scan 10   	  Scan 11   	  Scan 12   	  Scan 13   	  Scan 14   	  Scan 15   	  Scan 16   	  Scan 17   	  Scan 18   	  Scan 19   	  Scan 20   	

 0.124512	-2.330933E-06	-1.864014E-06	-1.676331E-06	-1.513367E-06	-1.444092E-06	-1.357117E-06	-1.328125E-06	-1.207275E-06	-1.104431E-06	-1.071472E-06	-1.046448E-06	-9.979248E-07	-9.957886E-07	-9.591675E-07	-9.579468E-07	-9.115601E-07	-8.843994E-07	-8.709717E-07	-8.517456E-07	-8.395386E-07

 0.126953	-2.312927E-06	-1.852112E-06	-1.661377E-06	-1.501160E-06	-1.428833E-06	-1.346741E-06	-1.317749E-06	-1.195068E-06	-1.097412E-06	-1.064758E-06	-1.039124E-06	-9.896851E-07	-9.915161E-07	-9.484863E-07	-9.445190E-07	-9.024048E-07	-8.782959E-07	-8.593750E-07	-8.474731E-07	-8.334351E-07

 0.129395	-2.292175E-06	-1.837463E-06	-1.648560E-06	-1.486816E-06	-1.418762E-06	-1.333923E-06	-1.305847E-06	-1.181641E-06	-1.086731E-06	-1.059570E-06	-1.028137E-06	-9.817505E-07	-9.774780E-07	-9.454346E-07	-9.332275E-07	-8.908081E-07	-8.715820E-07	-8.508301E-07	-8.361816E-07	-8.227539E-07

 0.131836	-2.272949E-06	-1.819153E-06	-1.632385E-06	-1.477661E-06	-1.409302E-06	-1.328735E-06	-1.299438E-06	-1.174927E-06	-1.071167E-06	-1.047668E-06	-1.014709E-06	-9.771729E-07	-9.686279E-07	-9.384155E-07	-9.255981E-07	-8.868408E-07	-8.682251E-07	-8.432007E-07	-8.279419E-07	-8.129883E-07

 0.134277	-2.259827E-06	-1.807251E-06	-1.622314E-06	-1.470032E-06	-1.403198E-06	-1.319580E-06	-1.290283E-06	-1.165771E-06	-1.062317E-06	-1.036682E-06	-1.007385E-06	-9.664917E-07	-9.567261E-07	-9.298706E-07	-9.194946E-07	-8.776855E-07	-8.563232E-07	-8.395386E-07	-8.166504E-07	-8.041382E-07

 0.136719	-2.244568E-06	-1.798096E-06	-1.612854E-06	-1.458435E-06	-1.389771E-06	-1.307983E-06	-1.280212E-06	-1.159363E-06	-1.054382E-06	-1.026001E-06	-1.000671E-06	-9.555054E-07	-9.545898E-07	-9.167480E-07	-9.118652E-07	-8.728027E-07	-8.465576E-07	-8.312988E-07	-8.132935E-07	-7.995605E-07

 0.139160	-2.228088E-06	-1.785583E-06	-1.601868E-06	-1.445618E-06	-1.377258E-06	-1.294861E-06	-1.264648E-06	-1.145325E-06	-1.049500E-06	-1.018677E-06	-9.945679E-07	-9.442139E-07	-9.466553E-07	-9.085083E-07	-8.993530E-07	-8.593750E-07	-8.349609E-07	-8.206177E-07	-8.062744E-07	-7.922363E-07

 0.141602	-2.206726E-06	-1.771851E-06	-1.588440E-06	-1.429749E-06	-1.362305E-06	-1.282349E-06	-1.253967E-06	-1.134949E-06	-1.040955E-06	-1.014709E-06	-9.835815E-07	-9.402466E-07	-9.362793E-07	-9.005737E-07	-8.911133E-07	-8.508301E-07	-8.322144E-07	-8.102417E-07	-8.007813E-07	-7.879639E-07

 0.144043	-2.189026E-06	-1.754456E-06	-1.574402E-06	-1.421204E-06	-1.354370E-06	-1.275024E-06	-1.243286E-06	-1.122437E-06	-1.030273E-06	-1.004944E-06	-9.725952E-07	-9.326172E-07	-9.259033E-07	-8.941650E-07	-8.789063E-07	-8.413696E-07	-8.273315E-07	-8.026123E-07	-7.879639E-07	-7.754517E-07

 0.146484	-2.172241E-06	-1.740417E-06	-1.561584E-06	-1.411743E-06	-1.348572E-06	-1.265869E-06	-1.236572E-06	-1.118469E-06	-1.018982E-06	-9.951782E-07	-9.619141E-07	-9.249878E-07	-9.152222E-07	-8.831787E-07	-8.776855E-07	-8.392334E-07	-8.187866E-07	-7.998657E-07	-7.794189E-07	-7.669067E-07

 0.148926	-2.158508E-06	-1.728516E-06	-1.550598E-06	-1.404419E-06	-1.333923E-06	-1.253357E-06	-1.226196E-06	-1.108398E-06	-1.011047E-06	-9.820557E-07	-9.530640E-07	-9.152222E-07	-9.109497E-07	-8.734131E-07	-8.706665E-07	-8.306885E-07	-8.081055E-07	-7.928467E-07	-7.720947E-07	-7.574463E-07

 0.151367	-2.143250E-06	-1.719971E-06	-1.542664E-06	-1.387634E-06	-1.323853E-06	-1.238403E-06	-1.212463E-06	-1.097107E-06	-1.003723E-06	-9.768677E-07	-9.503174E-07	-9.024048E-07	-9.030151E-07	-8.605957E-07	-8.627319E-07	-8.209229E-07	-7.971191E-07	-7.830811E-07	-7.666016E-07	-7.553101E-07

 0.153809	-2.122803E-06	-1.705627E-06	-1.527710E-06	-1.376038E-06	-1.308899E-06	-1.226196E-06	-1.200867E-06	-1.086121E-06	-9.948730E-07	-9.695435E-07	-9.402466E-07	-8.947754E-07	-8.966064E-07	-8.517456E-07	-8.505249E-07	-8.123779E-07	-7.919312E-07	-7.714844E-07	-7.632446E-07	-7.492065E-07

 0.156250	-2.105713E-06	-1.690979E-06	-1.513672E-06	-1.364136E-06	-1.301270E-06	-1.216736E-06	-1.188660E-06	-1.073303E-06	-9.823608E-07	-9.631348E-07	-9.307861E-07	-8.895874E-07	-8.825684E-07	-8.471680E-07	-8.410645E-07	-8.035278E-07	-7.846069E-07	-7.656860E-07	-7.498169E-07	-7.400513E-07

